Week,Python,R,SQL,Java
05-02-17,12,9,21,46
12-02-17,13,9,22,46
19-02-17,13,9,21,47
26-02-17,13,9,21,47
05-03-17,13,9,22,47
12-03-17,13,9,21,48
19-03-17,13,9,22,48
26-03-17,13,9,22,48
02-04-17,13,9,22,48
09-04-17,13,9,20,44
16-04-17,13,9,20,45
23-04-17,13,9,21,47
30-04-17,12,8,19,41
07-05-17,13,9,21,45
14-05-17,12,8,21,43
21-05-17,12,8,20,42
28-05-17,12,8,20,40
04-06-17,12,8,20,40
11-06-17,13,8,20,41
18-06-17,13,8,20,41
25-06-17,12,8,19,38
02-07-17,12,8,19,39
09-07-17,13,8,20,40
16-07-17,13,8,20,41
23-07-17,13,8,20,41
30-07-17,12,8,20,40
06-08-17,12,8,20,38
13-08-17,12,8,18,37
20-08-17,12,8,19,38
27-08-17,12,8,19,39
03-09-17,13,8,19,40
10-09-17,14,8,21,43
17-09-17,14,9,22,45
